dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,label,attack_cat
0.000011,udp,-,CON,2,0,212,0,181818.18,154181824,0,0,0,5.5,0,3.91,0,0,0,0,0,0,0,0,106,0,0,0,1,1,0,0,0,0,0,Normal
0.000019,udp,-,CON,2,0,202,0,105263.16,85052352,0,0,0,9.5,0,6.72,0,0,0,0,0,0,0,0,101,0,0,0,1,1,0,0,0,0,0,Normal
1.028428,tcp,http,FIN,17,22,1696,10066,37.92,13194.98,78315.14,0,0,60.49,46.74,36.29,26.18,255,1020328761,2854331520,255,0.0001,0,0.0001,99,457,1,7598,1,1,0,0,1,0,0,Normal
0.121478,tcp,dns,FIN,4,4,248,296,65.86,16331.38,19501.13,0,0,40.49,40.49,0,0,255,1647634432,2301657088,255,0.0015,0.002,0,62,74,0,0,1,1,0,0,0,0,0,Normal
0.000649,tcp,http,FIN,6,4,422,244,15408.32,5201272,1510863.2,0,0,129.8,162.25,51.51,43.22,255,3918430208,1315634688,255,0.0003,0,0,70,61,0,0,2,1,0,0,0,0,0,Normal
0.021732,udp,dns,CON,2,2,130,254,183.98,47863.46,93537.55,0,0,10866,10866,0,0,0,0,0,0,0,0,0,65,127,0,0,1,1,0,0,0,0,0,Normal
0.045123,tcp,http,FIN,8,10,524,2048,398.5,93421.5,363636.4,0,0,56.4,45.12,28.5,22.3,255,987654321,1234567890,255,0.002,0.001,0.001,65,204,1,1500,1,1,0,0,1,0,0,Normal
0.123456,tcp,https,FIN,12,15,876,4096,218.7,56789.2,265432.1,0,0,102.8,82.3,65.4,52.1,255,1122334455,5544332211,255,0.003,0.0015,0.0015,73,273,1,3500,1,1,0,0,0,0,0,Normal
0.234567,tcp,http,FIN,6,8,456,1536,59.8,15567.4,52432.1,0,0,468.9,292.8,234.5,156.7,255,2233445566,6655443322,255,0.005,0.003,0.002,76,192,1,1000,1,1,0,0,1,0,0,Normal
0.345678,udp,dns,CON,4,4,312,468,23.15,7234.5,10851.7,0,0,864.1,864.1,432.1,345.6,0,0,0,0,0,0,0,78,117,0,0,2,2,0,0,0,0,0,Normal
0.456789,tcp,smtp,FIN,10,8,748,512,39.45,13123.4,8970.1,0,0,456.8,571.0,228.4,182.7,255,3344556677,7766554433,255,0.008,0.004,0.004,74,64,0,0,1,1,0,0,0,0,0,Normal
0.567890,tcp,ftp,FIN,8,6,596,384,24.68,8409.2,5415.9,0,0,709.8,947.8,354.9,283.9,255,4455667788,8877665544,255,0.01,0.005,0.005,74,64,0,0,1,1,1,5,0,0,0,Normal
0.000008,udp,-,INT,2,0,252,0,250000,252000000,0,0,0,4,0,2.83,0,0,0,0,0,0,0,0,126,0,0,0,4,1,0,0,0,0,1,Reconnaissance
0.000009,udp,-,INT,2,0,252,0,222222.21,224000000,0,0,0,4.5,0,3.18,0,0,0,0,0,0,0,0,126,0,0,0,5,2,0,0,0,0,1,Reconnaissance
0.000006,udp,-,INT,2,0,252,0,333333.31,336000000,0,0,0,3,0,2.12,0,0,0,0,0,0,0,0,126,0,0,0,6,2,0,0,0,0,1,Reconnaissance
0.000007,udp,-,INT,2,0,252,0,285714.28,288000000,0,0,0,3.5,0,2.47,0,0,0,0,0,0,0,0,126,0,0,0,7,3,0,0,0,0,1,Reconnaissance
0.000065,tcp,-,REQ,1,0,74,0,15384.61,9107692,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,11,7,0,0,0,0,1,Reconnaissance
0.000043,tcp,-,REQ,1,0,74,0,23255.81,13767442,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,15,8,0,0,0,0,1,Reconnaissance
0.000024,udp,-,INT,2,0,252,0,83333.33,84000000,0,0,0,12,0,8.49,0,0,0,0,0,0,0,0,126,0,0,0,3,1,0,0,0,0,1,Reconnaissance
0.000018,tcp,-,REQ,1,0,74,0,55555.55,32888888,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,21,11,0,0,0,0,1,Reconnaissance
0.000012,tcp,-,REQ,1,0,74,0,83333.33,49333336,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,25,14,0,0,0,0,1,Reconnaissance
0.000055,tcp,-,REQ,1,0,74,0,18181.81,10763636,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,18,10,0,0,0,0,1,Reconnaissance
0.000033,tcp,-,REQ,1,0,74,0,30303.03,17939394,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,22,12,0,0,0,0,1,Reconnaissance
0.000022,tcp,-,REQ,1,0,74,0,45454.54,26909090,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,28,15,0,0,0,0,1,Reconnaissance
59.998486,tcp,http,FIN,121,183,9428,193978,5.06,1257.07,25861.27,0,0,496.67,327.86,340.15,218.8,255,2735735808,2853568512,255,0.0015,0,0.0015,77,1060,59,183318,1,1,0,0,53,0,1,DoS
60.002823,tcp,http,FIN,155,164,12234,165838,5.31,1631.8,22111.89,0,0,387.1,366.05,255.32,219.7,255,2735735808,2924871680,255,0.0017,0,0.0017,78,1011,49,153798,2,1,0,0,43,0,1,DoS
67.098007,tcp,http,FIN,1034,1015,96856,1087982,30.53,11547.73,129739.19,0,0,64.93,66.09,32.77,33.15,255,2735735808,2584445952,255,0.0002,0.0001,0.0001,93,1071,150,916238,1,1,0,0,143,0,1,DoS
45.123456,tcp,http,FIN,500,480,45000,520000,21.75,7980.5,92160.3,0,0,90.24,94.0,45.12,47.0,255,2735735808,2654789632,255,0.0012,0.0006,0.0006,90,1083,75,450000,1,1,0,0,68,0,1,DoS
52.345678,tcp,http,FIN,750,720,67500,780000,28.12,10318.2,119232.5,0,0,69.79,72.7,34.89,36.35,255,2735735808,2754321568,255,0.0014,0.0007,0.0007,90,1083,95,700000,1,1,0,0,88,0,1,DoS
38.567890,tcp,http,FIN,400,380,36000,418000,20.25,7466.8,86688.5,0,0,96.41,101.49,48.21,50.74,255,2735735808,2587654321,255,0.0018,0.0009,0.0009,90,1100,55,380000,2,1,0,0,48,0,1,DoS
75.234567,tcp,http,FIN,1200,1150,108000,1265000,31.45,11491.8,134640.2,0,0,62.69,65.42,31.35,32.71,255,2735735808,2698765432,255,0.0011,0.0005,0.0006,90,1100,170,1100000,1,1,0,0,160,0,1,DoS
48.765432,tcp,http,FIN,600,570,54000,627000,24.05,8855.4,102816.3,0,0,81.27,85.55,40.64,42.77,255,2735735808,2765432198,255,0.0015,0.0008,0.0007,90,1100,68,560000,1,1,0,0,62,0,1,DoS
55.432109,tcp,http,FIN,850,810,76500,891000,30.02,11040.1,128424.5,0,0,65.21,68.43,32.61,34.22,255,2735735808,2876543210,255,0.0013,0.0006,0.0007,90,1100,102,800000,2,1,0,0,95,0,1,DoS
82.109876,tcp,http,FIN,1500,1420,135000,1562000,35.62,13142.6,152312.8,0,0,54.73,57.82,27.37,28.91,255,2735735808,2987654321,255,0.0009,0.0004,0.0005,90,1100,185,1400000,1,1,0,0,175,0,1,DoS
0.000051,tcp,-,CON,1,0,60,0,19607.84,9411765,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,1,1,0,0,0,1,1,Backdoor
0.000035,tcp,-,CON,1,0,60,0,28571.42,13714286,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,2,1,0,0,0,1,1,Backdoor
0.000068,tcp,-,CON,1,0,60,0,14705.88,7058824,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,3,1,0,0,0,1,1,Backdoor
0.000042,tcp,-,CON,1,0,60,0,23809.52,11428571,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,4,2,0,0,0,1,1,Backdoor
0.000058,tcp,-,CON,1,0,60,0,17241.37,8275862,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,5,2,0,0,0,1,1,Backdoor
0.000075,tcp,-,CON,1,0,60,0,13333.33,6400000,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,6,3,0,0,0,1,1,Backdoor
0.000088,tcp,-,CON,1,0,60,0,11363.63,5454545,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,7,3,0,0,0,1,1,Backdoor
0.000095,tcp,-,CON,1,0,60,0,10526.31,5052631,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,8,4,0,0,0,1,1,Backdoor
0.000102,tcp,-,CON,1,0,60,0,9803.92,4705882,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,9,4,0,0,0,1,1,Backdoor
0.000115,tcp,-,CON,1,0,60,0,8695.65,4173913,0,0,0,0,0,0,0,29200,2365587456,0,0,0,0,0,60,0,0,0,10,5,0,0,0,1,1,Backdoor
0.02247,tcp,-,FIN,6,6,394,490,533.76,140322.69,174494.24,0,0,4494,4494,2695.62,1875.56,255,2365587456,16777216,255,0.0225,0.0112,0.0112,65,81,0,0,5,3,0,0,0,0,1,Exploits
0.039175,tcp,-,FIN,7,6,498,488,331.88,101745.72,99700.95,0,0,6529.17,7835,4519.31,3925.81,255,2348810240,16777216,255,0.0392,0.0196,0.0196,71,81,0,0,8,5,0,0,0,0,1,Exploits
0.055234,tcp,-,FIN,8,7,576,560,272.05,83456.2,81012.8,0,0,6904.25,7890.57,4767.45,4134.22,255,2365587456,16777216,255,0.0552,0.0276,0.0276,72,80,0,0,10,6,0,0,0,0,1,Exploits
0.071892,tcp,-,FIN,9,8,654,632,236.58,72789.5,70345.2,0,0,7988.0,8985.25,5512.0,4780.54,255,2348810240,16777216,255,0.0719,0.0359,0.0360,72,79,0,0,12,7,0,0,0,0,1,Exploits
0.088456,tcp,-,FIN,10,9,732,704,214.65,66123.8,63612.4,0,0,8845.6,9828.44,6104.12,5294.22,255,2365587456,16777216,255,0.0885,0.0442,0.0443,73,78,0,0,14,8,0,0,0,0,1,Exploits
0.104789,tcp,-,FIN,11,10,810,776,200.45,61789.2,59234.5,0,0,9526.27,10481.8,6575.12,5703.4,255,2348810240,16777216,255,0.1048,0.0524,0.0524,73,77,0,0,16,9,0,0,0,0,1,Exploits
0.121345,tcp,-,FIN,12,11,888,848,189.56,58456.3,55867.4,0,0,10105.87,11027.27,6974.56,6048.78,255,2365587456,16777216,255,0.1213,0.0607,0.0606,74,77,0,0,18,10,0,0,0,0,1,Exploits
0.137890,tcp,-,FIN,13,12,966,920,181.23,55978.5,53234.8,0,0,10606.92,11491.66,7320.45,6348.92,255,2348810240,16777216,255,0.1379,0.0689,0.0690,74,76,0,0,20,11,0,0,0,0,1,Exploits
0.154234,tcp,-,FIN,14,13,1044,992,175.16,54012.3,51234.6,0,0,11025.57,11862.46,7609.78,6600.12,255,2365587456,16777216,255,0.1542,0.0771,0.0771,74,76,0,0,22,12,0,0,0,0,1,Exploits
0.170678,tcp,-,FIN,15,14,1122,1064,169.98,52456.8,49678.5,0,0,11378.66,12189.14,7853.45,6812.34,255,2348810240,16777216,255,0.1707,0.0853,0.0854,74,76,0,0,24,13,0,0,0,0,1,Exploits
0.013621,tcp,-,FIN,8,6,646,416,1027.82,379482.28,244403.28,0,0,1945.85,2720.2,1341.34,1375.66,255,2365587456,16777216,255,0.0136,0.0068,0.0068,80,69,0,0,6,4,0,0,0,0,1,Shellcode
0.042319,tcp,-,FIN,8,6,672,370,330.48,127029.07,69936.59,0,0,6045.57,8463.8,4175.58,4282.38,255,2365587456,16777216,255,0.0423,0.0212,0.0212,84,61,0,0,4,3,0,0,0,0,1,Shellcode
0.09012,tcp,-,FIN,16,10,1366,622,288.48,121291.6,55212.59,0,0,6008,9012,3788.66,4516.44,255,2365587456,16777216,255,0.0077,0.0039,0.0039,85,62,0,0,7,4,0,0,0,0,1,Shellcode
0.025478,tcp,-,FIN,10,8,820,528,708.45,257345.6,165823.4,0,0,2547.8,3184.75,1758.23,1803.56,255,2365587456,16777216,255,0.0255,0.0127,0.0128,82,66,0,0,8,5,0,0,0,0,1,Shellcode
0.056892,tcp,-,FIN,12,10,998,644,421.56,140234.8,90456.2,0,0,4740.83,5689.2,3271.56,3356.78,255,2365587456,16777216,255,0.0569,0.0284,0.0285,83,64,0,0,6,4,0,0,0,0,1,Shellcode
0.078234,tcp,-,FIN,14,11,1148,734,320.12,117456.3,75123.5,0,0,5588.14,7112.18,3856.78,3956.45,255,2365587456,16777216,255,0.0782,0.0391,0.0391,82,66,0,0,9,6,0,0,0,0,1,Shellcode
